ORBIT,The curved path of an object around a star or planet
ASTEROID,A small rocky body orbiting the Sun
COMET,An icy object with a glowing tail in space
PLANET,A large body orbiting a star
STAR,A massive luminous sphere of plasma held together by gravity
GALAXY,"A massive system of stars, gas, and dust"
METEOR,A space rock burning in Earths atmosphere
METEORITE,A rock from space that lands on Earth
SOLAR,Powered by sunlight
LUNAR,Relating to the Moon
CRATER,A bowl-shaped cavity on a planetary surface caused by impact
SATELLITE,"An object orbiting a planet, natural or artificial"
ASTRONAUT,A person trained to travel in space
SPUTNIK,Name of the first artificial Earth satellite
APOLLO,NASA program that landed humans on the Moon
SPACESHIP,A vehicle for travels or transport between stars or planets
ROVER,A robotic vehicle for exploring other planets
TELESCOPE,An instrument for observing distant objects
COSMOS,The universe seen as a well-ordered whole
ASTRONOMY,The scientific study of celestial objects
BLACKHOLE,A region of space with gravity so strong that nothing can escape
SUPERNOVA,A star that suddenly increases greatly in brightness
NEBULA,A cloud of gas and dust in space
ASTEROIDS,Rock fragments in space between Mars and Jupiter
ORION,A prominent constellation named after a hunter
URANUS,The seventh planet from the Sun
NEPTUNE,The eighth planet from the Sun
VENUS,The second planet from the Sun
MERCURY,The closest planet to the Sun
SATURN,The sixth planet from the Sun with rings
JUPITER,The largest planet in our Solar System
MARS,The Red Planet
EARTH,Our home planet
MISSION,A planned space journey
LAUNCH,The act of sending a spacecraft into space
MODULE,A detachable section of a spacecraft
GRAVITY,Force that attracts objects toward each other
VACUUM,"A space with no matter, typical of outer space"
ECLIPSE,When one celestial body blocks light from another
PHOBOS,One of Mars two small moons
DEIMOS,The smaller Mars moon
IONOSPHERE,A layer of Earths atmosphere ionized by solar radiation
SPACEWALK,When an astronaut walks outside a spacecraft
THRUSTER,A small rocket engine used for spacecraft adjustments
REENTRY,The return of a spacecraft into Earth's atmosphere
LAUNCHPAD,The platform from which a rocket is launched
PROPULSION,The action of driving or pushing a spacecraft forward
MODULES,Parts of a spacecraft with specific functions
TELEMETRY,Data transmitted from a spacecraft to ground control
ANTENNA,A structure used to send or receive radio waves
CORONA,The outer atmosphere of the sun
QUASAR,"An extremely bright, distant object powered by a black hole"
AXIS,An imaginary line around which something rotates
ROTATE,To spin around an internal axis
REVOLVE,To move in a circular orbit around another object
EQUATOR,Imaginary line around the middle of a planet
SOLSTICE,The point when the Sun reaches its highest or lowest point in the sky
EQUINOX,When day and night are of equal length
UMBRIA,Region of total shadow during an eclipse
PENUMBRA,Partial shadow during an eclipse
AURORA,A natural light display caused by solar particles in a planet's atmosphere
POLARIS,"The North Star, located nearly above the North Pole"
SPACEX,A private aerospace company founded by Elon Musk
EXOPLANET,A planet located outside our Solar System
COSMONAUT,A Russian astronaut
GRAVITON,A hypothetical particle that mediates gravity
LIGHTYEAR,The distance light travels in a year
PARSEC,A unit of astronomical distance
ZODIAC,Belt of the sky divided into twelve constellations
LEO,A zodiac constellation shaped like a lion
TAURUS,A constellation named after a bull
SCORPIUS,A bright constellation shaped like a scorpion
ANDROMEDA,The nearest spiral galaxy to the Milky Way
MILKYWAY,The galaxy that contains our Solar System
EVENTHORIZON,The boundary around a black hole
QUANTUM,Smallest amount of physical quantity
COSMOLOGY,Study of the origin and evolution of the universe
INFRARED,A type of electromagnetic radiation
ULTRAVIOLET,Radiation just beyond the violet spectrum
SPECTRUM,The range of electromagnetic radiation
MAGNETOSPHERE,Magnetic field region around a planet
DEEPFIELD,A long-exposure image revealing distant galaxies
