ALGORITHM,Step-by-step procedure for solving a problem or performing a computation
BROWSER,Program used to access and view websites
FIREWALL,Security system that blocks unauthorized network access
ENCRYPT,To scramble data so only authorized users can read it
DATABASE,Organized collection of structured information
ROUTER,Device that directs data packets between networks
MALWARE,Malicious software designed to harm or exploit systems
PHISHING,Deceptive attempt to obtain sensitive information online
PROCESSOR,Central chip that executes instructions in a computer
MEMORY,Component for temporary data storage in computers
KEYBOARD,Device with keys for typing input
MONITOR,Screen that displays computer output
MODEM,Device that converts digital data for transmission over phone lines
SERVER,Computer providing resources to other computers
CLIENT,Computer that requests services from a server
BIT,Smallest unit of digital data
BYTE,Group of eight bits
CACHE,Fast memory for temporary data storage
PLUGIN,Add-on that extends software functionality
VIRUS,Self-replicating program that infects computers
WIRELESS,Technology for transmitting data without cables
UPDATE,Install a newer version of software
UPLOAD,Send files from your device to the Internet
DOWNLOAD,Transfer files from the Internet to your device
PASSWORD,Secret string used for authentication
NETWORK,Connected group of computers sharing resources
CLOUD,Online storage and computing services
SCRIPT,Set of commands executed by a program
SYNTAX,Rules governing structure in programming languages
DEBUG,Find and fix errors in code
HTML,Standard language for creating web pages
PIXEL,Smallest unit of a digital image
SPAM,Unwanted or unsolicited digital messages
STREAM,Continuous transmission of audio or video data
TOKEN,Digital code used for authentication or security
LAN,Network connecting computers within a limited area
WIDGET,Small application or tool on a user interface
FRAMEWORK,Reusable set of libraries and tools for software development
AUTOMATION,Technology that performs tasks without human intervention
BANDWIDTH,Maximum data transfer rate of a network
PROTOCOL,Set of rules for data exchange between devices
DOMAIN,Unique name identifying a website
URL,Web address of a resource
EMAIL,Electronic message sent over the internet
DRIVER,Software that controls hardware devices
PATCH,Software update that fixes bugs or vulnerabilities
QUEUE,Ordered list of items waiting to be processed
TERABYTE,Unit of digital information equal to about one trillion bytes
FIRMWARE,Software programmed into hardware devices
ARRAY,Ordered collection of elements in programming
BACKUP,Copy of data for recovery in case of loss
BINARY,Base-2 numeral system used by computers
BLOG,Online journal or informational website
BOOT,Start up a computer or device
BUFFER,Temporary data storage area for smooth processing
BUG,Error or flaw in software code
BUS,Communication system that transfers data between components
CLIPBOARD,Temporary storage for copied or cut data
CODE,Instructions written for a computer to execute
COMMAND,Instruction given to a computer program
COMPILER,Program that translates source code into executable code
COOKIE,Small file stored by a web browser to track user data
CURSOR,Flashing symbol indicating where text will appear
DATA,Information processed or stored by a computer
DEBUGGER,Tool for finding and resolving code errors
DELETE,Remove data or files from a system
DESKTOP,Primary user interface of a computer system
DIGITAL,Represented by discrete values
DISK,Storage device for digital data
DIRECTORY,Folder that contains files or other folders
DRAG,Move an item on screen using a mouse
FOLDER,Container for organizing files
FONT,Set of printable or displayable text characters
FORMAT,Arrange data or prepare a storage device
GIGABYTE,Unit of information equal to about one billion bytes
GRAPHICS,Visual images produced by computers
HACK,Gain unauthorized access to a computer system
HARDWARE,Physical components of a computer system
HOST,Computer that provides data or services to others
ICON,Small graphic symbol on a computer screen
INBOX,Folder for incoming email messages
INPUT,Data entered into a computer system
INTERFACE,Point where two systems or users interact
INTERNET,Global network that connects millions of computers
IP,Unique address identifying a device on a network
JAVA,Popular programming language known for portability
JOYSTICK,Handheld input device for controlling games
KERNEL,Core component of an operating system
KEYWORD,Reserved word with special meaning in programming
LAPTOP,Portable personal computer
LINK,Clickable reference to another web resource
LINUX,Open-source operating system based on Unix
LOGIN,Enter credentials to access a system
LOGOUT,Sign out of a system or application
LOGIC,Reasoning conducted according to strict principles
MACRO,Automated sequence of actions in software
MAINFRAME,Large  powerful computer for bulk data processing
MEDIA,Means of storing or communicating information
MICROCHIP,Tiny integrated circuit containing electronic components
MICROPHONE,Device for converting sound into electrical signals
MIGRATE,Move data or systems from one environment to another
